user_genome	is_ani_classification	class_tree_mapped	classification_rule
Alig_mis_R.bin.1	False	3	Rule 2
Alig_mis_R.bin.14	False	7	Rule 2
Alig_mis_R.bin.15	False	3	Rule 2
Alig_mis_R.bin.16	False	3	Rule 2
Alig_mis_R.bin.18	False	2	Rule 2
Alig_mis_R.bin.26	False	2	Rule 2
Alig_mis_R.bin.28	False	6	Rule 2
Alig_mis_R.bin.29	False	2	Rule 2
Alig_mis_R.bin.38	False	3	Rule 2
Alig_mis_R.bin.39	False	3	Rule 2
Alig_mis_R.bin.40	False	2	Rule 2
Alig_mis_R.bin.43	False	2	Rule 2
Alig_mis_R.bin.47	False	3	Rule 2
Alig_mis_R.bin.5	False	3	Rule 2
Alig_mis_R.bin.50	False	3	Rule 2
Alig_mis_R.bin.53	False	2	Rule 2
Alig_mis_R.bin.55	False	3	Rule 2
Alig_mis_R.bin.59	False	3	Rule 2
STP248.12601_R.bin.1	False	2	Rule 2
STP248.12601_R.bin.10	False	3	Rule 2
STP248.12601_R.bin.100	False	2	Rule 2
STP248.12601_R.bin.101	False	2	Rule 2
STP248.12601_R.bin.103	False	3	Rule 2
STP248.12601_R.bin.104	False	3	Rule 2
STP248.12601_R.bin.106	False	3	Rule 2
STP248.12601_R.bin.107	False	3	Rule 2
STP248.12601_R.bin.108	False	2	Rule 2
STP248.12601_R.bin.109	False	2	Rule 2
STP248.12601_R.bin.11	False	2	Rule 2
STP248.12601_R.bin.110	False	2	Rule 2
STP248.12601_R.bin.111	False	3	Rule 2
STP248.12601_R.bin.112	False	2	Rule 2
STP248.12601_R.bin.113	False	2	Rule 2
STP248.12601_R.bin.114	False	backbone	Rule 1
STP248.12601_R.bin.115	False	8	Rule 2
STP248.12601_R.bin.117	False	2	Rule 2
STP248.12601_R.bin.118	False	8	Rule 2
STP248.12601_R.bin.119	False	3	Rule 2
STP248.12601_R.bin.12	False	2	Rule 2
STP248.12601_R.bin.120	False	2	Rule 2
STP248.12601_R.bin.121	False	2	Rule 2
STP248.12601_R.bin.123	False	2	Rule 2
STP248.12601_R.bin.125	False	5	Rule 2
STP248.12601_R.bin.126	False	2	Rule 2
STP248.12601_R.bin.127	False	2	Rule 2
STP248.12601_R.bin.128	False	2	Rule 2
STP248.12601_R.bin.13	False	2	Rule 2
STP248.12601_R.bin.130	False	2	Rule 2
STP248.12601_R.bin.131	False	2	Rule 2
STP248.12601_R.bin.132	False	2	Rule 2
STP248.12601_R.bin.134	False	3	Rule 2
STP248.12601_R.bin.135	False	6	Rule 2
STP248.12601_R.bin.136	False	3	Rule 2
STP248.12601_R.bin.137	False	3	Rule 2
STP248.12601_R.bin.138	False	5	Rule 2
STP248.12601_R.bin.139	False	3	Rule 2
STP248.12601_R.bin.14	False	2	Rule 2
STP248.12601_R.bin.140	False	3	Rule 2
STP248.12601_R.bin.141	False	2	Rule 2
STP248.12601_R.bin.142	False	2	Rule 2
STP248.12601_R.bin.143	False	3	Rule 2
STP248.12601_R.bin.15	False	2	Rule 2
STP248.12601_R.bin.16	False	2	Rule 2
STP248.12601_R.bin.17	False	2	Rule 2
STP248.12601_R.bin.19	False	6	Rule 2
STP248.12601_R.bin.21	False	3	Rule 2
STP248.12601_R.bin.22	False	3	Rule 2
STP248.12601_R.bin.25	False	2	Rule 2
STP248.12601_R.bin.27	False	4	Rule 2
STP248.12601_R.bin.29	False	2	Rule 2
STP248.12601_R.bin.30	False	7	Rule 2
STP248.12601_R.bin.31	False	3	Rule 2
STP248.12601_R.bin.32	False	3	Rule 2
STP248.12601_R.bin.33	False	3	Rule 2
STP248.12601_R.bin.34	False	2	Rule 2
STP248.12601_R.bin.35	False	2	Rule 2
STP248.12601_R.bin.36	False	2	Rule 2
STP248.12601_R.bin.37	False	3	Rule 2
STP248.12601_R.bin.38	False	2	Rule 2
STP248.12601_R.bin.39	False	2	Rule 2
STP248.12601_R.bin.40	False	2	Rule 2
STP248.12601_R.bin.41	False	2	Rule 2
STP248.12601_R.bin.42	False	2	Rule 2
STP248.12601_R.bin.44	False	3	Rule 2
STP248.12601_R.bin.45	False	4	Rule 2
STP248.12601_R.bin.48	False	3	Rule 2
STP248.12601_R.bin.49	False	6	Rule 2
