user_genome	reference_genome	skani_ani	skani_af	reference_taxonomy	other_related_references(genome_id,species_name,radius,ANI,AF)
Alig_mis_R.bin.11	GCF_000820305.1	97.59	0.9248999999999999	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas dhakensis	GCF_000819805.1, s__Aeromonas diversa, 95.0, 82.86, 0.231; GCF_000820165.1, s__Aeromonas taiwanensis, 95.0, 89.68, 0.67; GCF_006243315.1, s__Aeromonas sobria_A, 95.0, 86.78, 0.5; GCF_000820105.1, s__Aeromonas schubertii, 95.0, 82.33, 0.228; GCF_000820025.1, s__Aeromonas popoffii, 95.0, 88.36, 0.654; GCA_945957575.1, s__Aeromonas sp945957575, 95.0, 88.22, 0.581; GCF_000819885.1, s__Aeromonas fluvialis, 95.0, 87.84, 0.575; GCF_000388115.1, s__Aeromonas molluscorum, 95.0, 83.9, 0.319; GCF_000820145.1, s__Aeromonas sobria, 95.0, 86.78, 0.515; GCF_000820045.1, s__Aeromonas rivuli, 95.0, 84.18, 0.353; GCF_000764645.1, s__Aeromonas finlandensis, 95.0, 87.93, 0.542; GCF_002812985.1, s__Aeromonas lusitana, 95.0, 87.51, 0.589; GCF_000819725.1, s__Aeromonas australiensis, 95.0, 87.58, 0.554; GCF_000819685.1, s__Aeromonas allosaccharophila, 95.0, 88.03, 0.554; GCF_000820005.1, s__Aeromonas piscicola, 95.26, 89.31, 0.745; GCF_000764655.1, s__Aeromonas aquatica, 95.0, 87.79, 0.587; GCF_000819765.1, s__Aeromonas bivalvium, 95.0, 86.49, 0.478; GCF_000819955.1, s__Aeromonas jandaei, 95.64, 88.31, 0.588; GCF_010974825.1, s__Aeromonas rivipollensis, 95.0, 88.34, 0.614; GCF_000819745.1, s__Aeromonas bestiarum, 95.0, 90.2, 0.779; GCF_000819985.1, s__Aeromonas media, 95.0, 88.73, 0.61; GCF_001643305.1, s__Aeromonas salmonicida, 95.0, 88.41, 0.657; GCF_000819785.1, s__Aeromonas caviae, 95.0, 89.17, 0.644; GCF_000820225.1, s__Aeromonas veronii, 95.0, 87.86, 0.587; GCF_000764665.1, s__Aeromonas lacus, 95.0, 88.43, 0.598; GCF_000820085.1, s__Aeromonas sanarellii, 95.0, 89.74, 0.688; GCF_019048265.1, s__Aeromonas veronii_A, 95.0, 87.56, 0.59; GCF_900637545.1, s__Aeromonas encheleia, 95.0, 87.59, 0.625; GCF_023093515.1, s__Aeromonas sp023093515, 95.0, 88.49, 0.615; GCF_000819845.1, s__Aeromonas enteropelogenes, 95.0, 88.88, 0.609; GCF_000819865.1, s__Aeromonas eucrenophila, 95.0, 87.51, 0.583; GCF_000820185.1, s__Aeromonas tecta, 95.0, 86.74, 0.54; GCF_000014805.1, s__Aeromonas hydrophila, 95.0, 93.91, 0.875
Alig_mis_R.bin.12	GCF_027857615.1	96.8	0.6842	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Holtiella;s__Holtiella tumoricola	
Alig_mis_R.bin.23	GCA_002471225.1	98.73	0.8561	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA7332;g__UBA7332;s__UBA7332 sp002471225	
Alig_mis_R.bin.25	GCA_002471185.1	98.16	0.8072	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002471185	
Alig_mis_R.bin.27	GCF_900199435.1	97.37	0.968	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Pygmaiobacter;s__Pygmaiobacter massiliensis	
Alig_mis_R.bin.35	GCF_951230135.1	96.79	0.9684999999999999	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp951230135	
Alig_mis_R.bin.37	GCA_002471255.1	98.93	0.7495999999999999	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp002471255	
Alig_mis_R.bin.41	GCF_000479045.1	97.72	0.6870999999999999	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A somerae	GCF_947038635.1, s__Cetobacterium_A sp947038635, 95.0, 90.72, 0.392; GCF_022430525.1, s__Cetobacterium_A sp905216205, 95.0, 93.74, 0.619
Alig_mis_R.bin.45	GCF_000479045.1	99.0	0.915	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A somerae	GCF_947038635.1, s__Cetobacterium_A sp947038635, 95.0, 93.78, 0.777; GCF_024506395.1, s__Cetobacterium_A somerae_A, 95.0, 90.64, 0.762; GCF_022430525.1, s__Cetobacterium_A sp905216205, 95.0, 95.09, 0.9; GCA_934085975.1, s__Cetobacterium_A sp934085975, 95.0, 87.86, 0.535
Alig_mis_R.bin.57	GCF_003113495.2	98.48	0.9712000000000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Edwardsiella;s__Edwardsiella tarda	GCF_008801815.1, s__Edwardsiella anguillarum, 95.0, 85.38, 0.54; GCF_000474215.1, s__Edwardsiella hoshinae, 95.0, 90.03, 0.835; GCF_001896205.1, s__Edwardsiella piscicida, 95.0, 85.01, 0.514
